Collection Name,Floor Purchase Price,24h%,7d%,Total Float,Floor Cap,Volume,24h Volume%,Sales,24h Owners%,%Float,24h supply%,image_url
0n1-force,0.42,-9.68,-19.23,7780,3267.60,7,-0.58823529411764705882,10,0.02,6.20,7.35,https://lh3.googleusercontent.com/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s=s120
0xapes-trilogy,0.19,-9.52,-17.39,9534,1811.46,11,-0.38888888888888888889,44,-0.10,11.51,-1.26,https://lh3.googleusercontent.com/RpkU22TwUksonije0rrA7_edf7J5fZkCnLEmKbSPNa7rjL8uB2H_5gIple5CgzWcH8G8bQJz4Xhr7EJMYWkKPPDkzr5CRYXL1mlyieU=s120
1989-sisters,0.85,7.59,0.00,1990,1691.50,6,0.50000000000000000000,6,0.28,6.18,6.03,https://lh3.googleusercontent.com/ooFbPo1SL_BS92QSHiGT9ks1dRtQrLLAN34fuINYOp7vEOtDJQtWPj5ZKcmKMxW03L-ttEACrBev69jAj3gZ2q3ORnrRJVLCEqaorQ=s120
24px,0.04,0.00,33.33,9900,396.00,0,,3,0.00,5.21,1.78,
3landers,1.6,-11.11,3.23,10000,16000.00,531,-0.11055276381909547739,277,0.36,20.51,1.03,https://lh3.googleusercontent.com/jM8itRiSM3hI8RWokMkhR97JdoIzukU3DUEO-9MD3i6r6DnTBW6efbv1617zES0MfoiWzW4f3UaL9lgRr61vf3Cj4DDPIsk_XjNBXQ=s120
888innercircle,0.55,-5.17,-29.21,3,1.65,12,0.33333333333333333333,22,-0.19,66.67,100.00,https://lh3.googleusercontent.com/pnJeSudJAfhAinecDqcM4-VJ-u4LbdIXeoJdZ-y0PqtDzvNF7qDK8aUXn9duCUyMGLtgS_J04D9-wLlqgZKei931ZdQ59bbJMPZpcg=s120
8sian-main-collection,0.088,-11.58,-25.86,7833,689.30,1,-0.50000000000000000000,7,0.02,7.98,7.02,https://lh3.googleusercontent.com/eAULPaXEuD9oufUOtA-_c1MbS71hh_s_2LUMWs_xYBQW4DFqXNU1f6IrEQcE6Zv0gnV3kUyYPPt7mIzsLRhQEEDSkraAnPv81eLi=s120
8sian-vip-gold-pass,0.066,-13.16,-31.96,2,0.13,0,,2,-0.14,100.00,0.00,https://lh3.googleusercontent.com/eAULPaXEuD9oufUOtA-_c1MbS71hh_s_2LUMWs_xYBQW4DFqXNU1f6IrEQcE6Zv0gnV3kUyYPPt7mIzsLRhQEEDSkraAnPv81eLi=s120
acclimatedmooncats,0.5,-7.41,-16.39,18367,9183.50,7,1.3333333333333333,5,0.04,3.72,9.11,https://lh3.googleusercontent.com/RwIPOH0RftzOWtyC0WBnMx2X4_4Xqeimk5iT6I1xNQKSuRTVNwBY0PcA6MkCiX2dVP5U_MDbseAq3LoaJ7BY_xyTfLpeUsGtt2-WTA=s120
acrocalypse,0.388,0.78,-9.77,10000,3880.00,55,0.10000000000000000000,144,-0.13,11.86,-2.87,https://lh3.googleusercontent.com/2A1CFc0BZ_4wmXLeAd-2KgxsRGa_KdkvBRex3BC64HoPnLPzBjPz79xmX5JPq6OXEx8yhc38oGIlh1OjwDqvgU0-Tx_s3P9hAdUY5Fk=s120
